dist;high
12.40749486;139.1
12.89066726;139.1
16.67649571;139.1
14.17530349;139.1
14.53701705;139.1
28.60198293;156.9
17.88253292;156.9
20.1008264;156.9
16.61060264;156.9
15.96075008;156.9
32.22815382;156.9
21.43597205;156.9
5.90262087;156.9
3.263958848;156.9
22.73866755;156.9
15.50585007;156.9
21.86429573;156.9
29.17935278;156.9
9.112443802;156.9
15.99498007;156.9
26.04619419;156.9
24.33094961;143.7
6.679317872;144
17.2105549;142.2
4.990913499;139.7
16.44686614;134.3
13.01646196;133.4
6.115585239;132.2
17.27122527;130.9
23.0698734;130.1
34.4675417;129.8
18.34186154;128
13.89098204;126.7
9.287975586;123.7
18.82802595;120.8
12.47933199;119.2
21.17040641;119.1
24.65741798;125.4
7.967147699;128.4
15.38695113;129.9
14.32264878;132.6
18.55940304;125.4
10.85839894;122.8
18.43969648;122.9
22.22387901;120
28.14799559;122.9
28.11674282;126.4
10.41093778;126.1
11.72941944;131.1
25.55356793;135.4
25.86955752;137.8
21.39571038;136.5
20.18689266;134.4
16.71119134;134.4
24.59777899;137.1
26.15875394;138.8
21.97721364;139.6
25.31351372;138.2
19.65095196;134.5
25.25380238;134.8
18.63743947;135.9
18.8355539;133.1
12.57042048;134
29.4147826;132.9
21.1484826;130
18.59239793;134.9
22.14539768;136
9.465908096;136.7
11.04417269;140.2
18.22438783;141.8
15.70007808;141.6
14.38532554;142.5
16.40181921;141.4
22.33485423;140.4
21.91777876;138.2
21.44343106;137.4
21.95597412;136
16.33758312;134.8
18.74715743;132
25.63274802;130.9
21.01200727;128.5
25.86325764;128.8
22.9581519;131.2
21.38891259;132.6
21.23241212;131.4
23.09556182;131.1
18.99783139;131.2
21.51602746;134.2
19.47895475;132.8
15.2183882;132.9
22.53267637;131.1
17.86053497;129.8
20.34467168;128.5
21.95781682;128.7
16.61097192;129.1
14.09779936;127.5
19.99329045;123.8
20.00696187;126.6
15.38190473;128.9
13.03395799;128.5
8.874872661;139.1
24.84814617;135.4
17.58000172;128.6
24.045278;125.9
17.67798728;125.4
19.16558613;125
21.36179551;122.3
14.74096211;121
12.90727294;124.6
15.15257421;126
21.77911144;126.8
27.44030867;125.9
29.8840506;127.4
14.0313129;127.5
24.25703813;130.4
20.73277626;132
12.21585217;132.3
21.20940142;129.7
24.20017626;130
15.09654012;130.9
20.05965178;129.4
17.93456843;128.1
18.87454712;128.6
22.17780698;128.3
18.98813268;125.5
23.02048312;121.9
18.5779457;120.5
21.72255183;122.1
22.02507255;123.2
10.23772621;123.8
19.16230447;125
21.79270599;125.6
21.83162536;129.2
26.92627267;130.5
19.94418463;134.8
32.51060524;136.9
25.8005465;136.8
26.95496366;137.2
29.17026948;139.6
17.00402944;135.8
21.81096564;131.8
18.67220458;136.3
12.77277043;135.1
9.432985333;134.6
17.92387958;137.5
16.20140748;137.9
11.77680771;138.6
15.49282989;139.8
14.53633082;138.6
11.58408614;138.6
17.08395893;131.6
15.45903512;131.1
20.23813141;131.9
17.48203049;130.5
28.19536138;131.5
22.37693722;133.4
21.00741549;130.6
33.04030185;127.8
31.16814144;125.7
23.86951812;124.8
24.23348612;130.8
29.5055644;132.5
28.78151388;134.7
17.12407866;135.9
20.32649398;135.3
28.13479614;136.2
15.22805878;135.8
16.6998011;134.3
12.36117611;130.9
19.29821863;132
13.65957287;131.3
14.44123174;124.6
15.39794439;125.2
13.20084424;127.3
22.83100881;126.2
25.15920234;126.6
25.79806803;129.7
26.85585888;132.8
28.03909049;129
24.45135846;123.3
22.60143447;124.1
24.47476157;125.7
24.19738792;130.4
2.425232496;137.8
19.38494612;137.6
15.11435031;140.7
13.83299997;141.6
13.30046189;144.4
16.65677748;148.2
22.07972922;148.6
13.82149271;144.1
26.22043115;138.9
27.06711844;136.1
21.08729671;135.9
26.67758068;133.6
12.31694706;130.5
11.34398593;131.8
21.38465962;132.9
19.51745302;132.8
16.63471179;135
16.54231605;136.8
12.80943469;136.1
17.40071776;138.1
22.99070909;135.5
14.04490712;136.6
21.01098991;136.6
22.19241648;136.8
21.66031299;138.5
20.5058872;137.2
8.769955504;136.8
9.200897678;133.9
22.97912841;133.6
18.98381185;136.8
19.98222069;140.2
26.18439353;137.2
22.63326742;137.9
21.90710165;136.6
14.85429199;132.4
15.58321787;127.6
16.99008235;125.2
23.13432219;127.4
12.99956202;128.8
14.50316535;130.2
18.47481021;127.1
15.03926321;128.9
23.07212664;125.6
22.23940832;129.3
18.77875015;131.3
19.08688157;136.3
12.32934598;132.1
16.8257118;127.3
18.34441519;130.2
22.15402466;125.8
18.76711257;124.1
16.40981075;125.9
29.38180904;128.7
25.38822507;134.1
26.03480887;138.4
33.87883015;141.1
20.94948823;142.8
20.50272336;142.7
16.95516077;140.9
18.12329516;139.7
29.23633232;136.7
23.47317109;132
35.0536221;128.7
20.77435855;132.3
19.4194706;133.7
16.67900714;132.3
18.22247022;135.2
16.66251617;134
19.80706608;129.7
19.54823825;131.3
18.43263209;131.2
19.94241685;131.6
17.67086032;131.6
33.44904712;124.4
21.1061872;124.1
20.77057337;128.2
20.36891482;130.2
21.03296571;129
37.61003914;127.6
34.81636089;125.9
29.47479673;125.5
25.37911058;123.7
24.10322251;129.5
30.07120447;129.2
14.5454879;130.6
19.84464059;127.6
17.27146205;125.1
13.56616065;125.9
31.90094595;128.5
31.27898822;128.8
22.14564109;129.1
29.79127754;130.5
24.27800256;130.5
17.18579704;126.5
21.09605387;125.8
20.2777459;130
19.39280424;130.9
16.77067569;128.2
16.67686725;130.9
17.84144466;134.3
20.45666099;139.1
27.62400734;139.1
14.50453238;139.1
16.63092702;139.1
20.14088322;139.1
19.60721483;139.1
28.93215838;139.1
21.01021138;139.1
31.24229652;139.1
15.9726402;139.1
11.65053538;139.1
19.10407553;139.1
18.80421149;139.1
15.57455556;139.1
19.49532302;139.1
24.69853146;139.1
15.13036648;137.3
12.77955512;138.2
18.51912735;138.8
17.76882605;137.3
19.42533088;137.3
22.09989939;134.9
23.7738847;135.8
19.25240583;134.6
16.18318177;132.5
15.26740221;131.9
