name;cmt;desc;src;link1_href;link1_text;link1_type;link2_href;link2_text;link2_type;number;type;length
;;;;;;;;;;;11:48:45;21.26384399
;;;;;;;;;;;11:48:51;25.41595605
;;;;;;;;;;;11:48:57;13.09225592
;;;;;;;;;;;11:49:03;20.38936132
;;;;;;;;;;;11:49:08;24.03305308
;;;;;;;;;;;11:49:13;18.64435315
;;;;;;;;;;;11:49:18;24.4304312
;;;;;;;;;;;11:49:23;25.8066336
;;;;;;;;;;;11:49:29;22.60246523
;;;;;;;;;;;11:49:34;20.18249077
;;;;;;;;;;;11:49:40;15.84631681
;;;;;;;;;;;11:49:45;15.26592897
;;;;;;;;;;;11:49:51;18.27264259
;;;;;;;;;;;11:49:56;28.11618529
;;;;;;;;;;;11:50:02;21.80330555
;;;;;;;;;;;11:50:07;30.87618209
;;;;;;;;;;;11:50:12;19.12367119
;;;;;;;;;;;11:50:18;19.64496659
;;;;;;;;;;;11:50:24;16.77260044
;;;;;;;;;;;11:50:29;16.76631185
;;;;;;;;;;;11:50:34;20.60957039
;;;;;;;;;;;11:50:40;27.07106232
;;;;;;;;;;;11:50:46;14.37395009
;;;;;;;;;;;11:50:51;19.37888179
;;;;;;;;;;;11:50:57;20.09822771
;;;;;;;;;;;11:51:02;19.28895684
;;;;;;;;;;;11:51:08;21.20335044
;;;;;;;;;;;11:51:13;26.13880493
;;;;;;;;;;;11:51:19;5.549318486
;;;;;;;;;;;11:51:24;43.10095755
;;;;;;;;;;;11:51:30;22.5720904
;;;;;;;;;;;11:51:36;5.980385167
;;;;;;;;;;;11:51:41;25.55196515
;;;;;;;;;;;11:51:46;21.20067939
;;;;;;;;;;;11:51:51;54.18157484
;;;;;;;;;;;11:51:57;34.40741221
;;;;;;;;;;;11:52:02;1.966451794
;;;;;;;;;;;11:52:08;16.49527993
;;;;;;;;;;;11:52:13;25.44644982
;;;;;;;;;;;11:52:18;26.86086028
;;;;;;;;;;;11:52:23;15.93972279
;;;;;;;;;;;11:52:29;13.24700537
;;;;;;;;;;;11:52:34;21.57376614
;;;;;;;;;;;11:52:39;18.11625104
;;;;;;;;;;;11:52:45;12.37464232
;;;;;;;;;;;11:52:50;5.806834818
;;;;;;;;;;;11:52:56;13.43546474
;;;;;;;;;;;11:53:01;12.62683004
;;;;;;;;;;;11:53:07;24.2568721
;;;;;;;;;;;11:53:12;9.020787832
;;;;;;;;;;;11:53:17;20.2470447
;;;;;;;;;;;11:53:23;27.21181215
