name;cmt;desc;src;link1_href;link1_text;link1_type;link2_href;link2_text;link2_type;number;type;length (i)
;;;;;;;;;;;09.01.2022 11:19;27.44030867
;;;;;;;;;;;09.01.2022 11:19;29.8840506
;;;;;;;;;;;09.01.2022 11:19;14.0313129
;;;;;;;;;;;09.01.2022 11:19;24.25703813
;;;;;;;;;;;09.01.2022 11:19;20.73277626
;;;;;;;;;;;09.01.2022 11:19;12.21585217
;;;;;;;;;;;09.01.2022 11:19;21.20940142
;;;;;;;;;;;09.01.2022 11:19;24.20017626
;;;;;;;;;;;09.01.2022 11:19;15.09654012
;;;;;;;;;;;09.01.2022 11:19;20.05965178
;;;;;;;;;;;09.01.2022 11:19;17.93456843
;;;;;;;;;;;09.01.2022 11:20;18.87454712
;;;;;;;;;;;09.01.2022 11:20;22.17780698
;;;;;;;;;;;09.01.2022 11:20;18.98813268
;;;;;;;;;;;09.01.2022 11:20;23.02048312
;;;;;;;;;;;09.01.2022 11:20;18.5779457
;;;;;;;;;;;09.01.2022 11:20;21.72255183
;;;;;;;;;;;09.01.2022 11:20;22.02507255
;;;;;;;;;;;09.01.2022 11:20;10.23772621
;;;;;;;;;;;09.01.2022 11:20;19.16230447
;;;;;;;;;;;09.01.2022 11:20;21.79270599
;;;;;;;;;;;09.01.2022 11:20;21.83162536
;;;;;;;;;;;09.01.2022 11:21;26.92627267
;;;;;;;;;;;09.01.2022 11:21;19.94418463
;;;;;;;;;;;09.01.2022 11:21;32.51060524
;;;;;;;;;;;09.01.2022 11:21;25.8005465
;;;;;;;;;;;09.01.2022 11:21;26.95496366
;;;;;;;;;;;09.01.2022 11:21;29.17026948
;;;;;;;;;;;09.01.2022 11:21;17.00402944
;;;;;;;;;;;09.01.2022 11:21;21.81096564
;;;;;;;;;;;09.01.2022 11:21;18.67220458
;;;;;;;;;;;09.01.2022 11:21;12.77277043
;;;;;;;;;;;09.01.2022 11:21;9.432985333
;;;;;;;;;;;09.01.2022 11:22;17.92387958
;;;;;;;;;;;09.01.2022 11:22;16.20140748
;;;;;;;;;;;09.01.2022 11:22;11.77680771
;;;;;;;;;;;09.01.2022 11:22;15.49282989
;;;;;;;;;;;09.01.2022 11:22;14.53633082
;;;;;;;;;;;09.01.2022 11:22;11.58408614
;;;;;;;;;;;09.01.2022 11:22;17.08395893
;;;;;;;;;;;09.01.2022 11:22;15.45903512
;;;;;;;;;;;09.01.2022 11:22;20.23813141
;;;;;;;;;;;09.01.2022 11:22;17.48203049
;;;;;;;;;;;09.01.2022 11:22;28.19536138
;;;;;;;;;;;09.01.2022 11:23;22.37693722
;;;;;;;;;;;09.01.2022 11:23;21.00741549
;;;;;;;;;;;09.01.2022 11:23;33.04030185
;;;;;;;;;;;09.01.2022 11:23;31.16814144
;;;;;;;;;;;09.01.2022 11:23;23.86951812
;;;;;;;;;;;09.01.2022 11:23;24.23348612
;;;;;;;;;;;09.01.2022 11:23;29.5055644
;;;;;;;;;;;09.01.2022 11:23;28.78151388
;;;;;;;;;;;09.01.2022 11:23;17.12407866
;;;;;;;;;;;09.01.2022 11:23;20.32649398
;;;;;;;;;;;09.01.2022 11:23;28.13479614
;;;;;;;;;;;09.01.2022 11:24;15.22805878
;;;;;;;;;;;09.01.2022 11:24;16.6998011
;;;;;;;;;;;09.01.2022 11:24;12.36117611
;;;;;;;;;;;09.01.2022 11:24;19.29821863
;;;;;;;;;;;09.01.2022 11:24;13.65957287
;;;;;;;;;;;09.01.2022 11:24;14.44123174
;;;;;;;;;;;09.01.2022 11:24;15.39794439
;;;;;;;;;;;09.01.2022 11:24;13.20084424
;;;;;;;;;;;09.01.2022 11:24;22.83100881
;;;;;;;;;;;09.01.2022 11:24;25.15920234
;;;;;;;;;;;09.01.2022 11:24;25.79806803
;;;;;;;;;;;09.01.2022 11:25;26.85585888
;;;;;;;;;;;09.01.2022 11:25;28.03909049
;;;;;;;;;;;09.01.2022 11:25;24.45135846
;;;;;;;;;;;09.01.2022 11:25;22.60143447
;;;;;;;;;;;09.01.2022 11:25;24.47476157
;;;;;;;;;;;09.01.2022 11:25;24.19738792
;;;;;;;;;;;09.01.2022 11:25;2.425232496
;;;;;;;;;;;09.01.2022 11:25;19.38494612
;;;;;;;;;;;09.01.2022 11:25;15.11435031
;;;;;;;;;;;09.01.2022 11:25;13.83299997
;;;;;;;;;;;09.01.2022 11:25;13.30046189
;;;;;;;;;;;09.01.2022 11:26;16.65677748
;;;;;;;;;;;09.01.2022 11:26;22.07972922
;;;;;;;;;;;09.01.2022 11:26;13.82149271
;;;;;;;;;;;09.01.2022 11:26;26.22043115
;;;;;;;;;;;09.01.2022 11:26;27.06711844
;;;;;;;;;;;09.01.2022 11:26;21.08729671
;;;;;;;;;;;09.01.2022 11:26;26.67758068
;;;;;;;;;;;09.01.2022 11:26;12.31694706
;;;;;;;;;;;09.01.2022 11:26;11.34398593
;;;;;;;;;;;09.01.2022 11:26;21.38465962
;;;;;;;;;;;09.01.2022 11:26;19.51745302
;;;;;;;;;;;09.01.2022 11:27;16.63471179
;;;;;;;;;;;09.01.2022 11:27;16.54231605
;;;;;;;;;;;09.01.2022 11:27;12.80943469
;;;;;;;;;;;09.01.2022 11:27;17.40071776
;;;;;;;;;;;09.01.2022 11:27;22.99070909
;;;;;;;;;;;09.01.2022 11:27;14.04490712
;;;;;;;;;;;09.01.2022 11:27;21.01098991
;;;;;;;;;;;09.01.2022 11:27;22.19241648
;;;;;;;;;;;09.01.2022 11:27;21.66031299
;;;;;;;;;;;09.01.2022 11:27;20.5058872
;;;;;;;;;;;09.01.2022 11:27;8.769955504
;;;;;;;;;;;09.01.2022 11:28;9.200897678
;;;;;;;;;;;09.01.2022 11:28;22.97912841
;;;;;;;;;;;09.01.2022 11:28;18.98381185
;;;;;;;;;;;09.01.2022 11:28;19.98222069
;;;;;;;;;;;09.01.2022 11:28;26.18439353
;;;;;;;;;;;09.01.2022 11:28;22.63326742
;;;;;;;;;;;09.01.2022 11:28;21.90710165
;;;;;;;;;;;09.01.2022 11:28;14.85429199
;;;;;;;;;;;09.01.2022 11:28;15.58321787
;;;;;;;;;;;09.01.2022 11:28;16.99008235
;;;;;;;;;;;09.01.2022 11:28;23.13432219
;;;;;;;;;;;09.01.2022 11:29;12.99956202
;;;;;;;;;;;09.01.2022 11:29;14.50316535
;;;;;;;;;;;09.01.2022 11:29;18.47481021
;;;;;;;;;;;09.01.2022 11:29;15.03926321
;;;;;;;;;;;09.01.2022 11:29;23.07212664
;;;;;;;;;;;09.01.2022 11:29;22.23940832
;;;;;;;;;;;09.01.2022 11:29;18.77875015
;;;;;;;;;;;09.01.2022 11:29;19.08688157
;;;;;;;;;;;09.01.2022 11:29;12.32934598
;;;;;;;;;;;09.01.2022 11:29;16.8257118
;;;;;;;;;;;09.01.2022 11:29;18.34441519
;;;;;;;;;;;09.01.2022 11:29;22.15402466
;;;;;;;;;;;09.01.2022 11:30;18.76711257
;;;;;;;;;;;09.01.2022 11:30;16.40981075
